金士頓 HyperX Cloud Silver 電競耳麥(黑)/有線(限量送羅技Z213 喇叭),2290
金士頓 HyperX Cloud Flight 無線電競耳機/mic可拆(七月限時促銷),4390
金士頓 HyperX Cloud MIX 有線電競耳機 + 藍牙(七月限時促銷),4688
威剛 XPG EMIX H20電競耳機買一送一,1290
威剛 XPG EMIX H30 SE 電競耳機+ SOLOX F30擴大器+I30 3D入耳式電競耳機,2990
羅技 G PRO 遊戲耳機麥克風/有線/PRO-G 單體/3.5mm(限量下殺~僅此一批),1990
藝極 EPICGEAR THUNDEROUZ Lite 電勁耳麥(限網單),1290
藝極 EPICGEAR THUNDEROUZ 電競耳麥,1590
Ktnet B1 藍牙立體耳機麥克風(黑)/使用時間：約5小時(限網路下單),299
Ktnet 3.5mm藍牙音訊接收器/有線喇叭秒變無線藍牙喇叭/連續使用12小時(限網路下單),299
Razer Kraken Pro V2 Oval 北海巨妖耳麥/有線/線控/橢圓形耳罩/3.5mm/黑(七月促銷價),1990
Razer Kraken Pro V2 Oval 北海巨妖耳麥/有線/線控/橢圓形耳罩/3.5mm/白(七月促銷價),1990
Razer Kraken Pro V2 Oval 北海巨妖耳麥/有線/線控/橢圓形耳罩/3.5mm/綠(七月促銷價),1990
Razer ManO War 7.1耳機麥克風/有線/mic可收/USB虛擬7.1/全黑,3690
Razer ManO War 7.1耳機麥克風/有線/mic可收/USB虛擬7.1/黑綠,3690
圓剛 AM310 黑鳩 實況專用麥克風/有線/USB供電/心型指向收音(限量送威剛 H20 耳機),2688
華碩 ROG Strix Magnus USB電容式電競麥克風(六月活動價),4190
金士頓 Hyperx Cloud QuadCast 電競麥克風/有線/USB供電/內建防震支架(限網單),6490
Razer SEIREN X 魔音海妖 (粉晶)專業麥克風/有線/USB/精準的收音模式【訂】,3490
Razer SEIREN Elite 魔音海妖菁英版 專業麥克風/有線/USB/高通濾波器收錄乾淨音訊【訂】,5500
ASUS AI800M PRO【神隊友小布】內建無線&藍牙,2632
Eupho E3 球型藍牙喇叭(紅) /藍牙-USB-3.5mm-光纖/60W/獨特球形附三腳架【客訂】,8980
Eupho E3 球型藍牙喇叭(白) /藍牙-USB-3.5mm-光纖/60W/獨特球形附三腳架【客訂】,8980
Eupho E3 球型藍牙喇叭(黑) /藍牙-USB-3.5mm-光纖/60W/獨特球形附三腳架【客訂】,8980
羅技 Z120 二件式喇叭/有線/功率:1.2W RMS/USB供電,399
羅技 Z150 二件式喇叭(黑)/有線/耳機孔,649
羅技 Z200 二件式喇叭(黑)/有線/低音調整/耳機孔,899
羅技 Z213 2.1聲道喇叭(三件式)/有線/線控/總輸出:7w RMS,990
羅技 Z313 2.1聲道喇叭(三件式)/有線/總輸出功率:25w RMS,1290
羅技 Z623 2.1聲道喇叭(三件式)/有線/輸出功率:200w RMS/THX,3990
羅技 Z607 5.1聲道喇叭(六件式)/無線/總輸出功率:80W RMS/支援32G記憶卡,3490
羅技 Z906 5.1聲道喇叭(六件式)/有線/總輸出功率:500w RMS/杜比/THX,9590
