ASUS Lyra Trio【450+1300M】Mesh技術/1*Gigabit埠/隱藏3天線/三年換新/三入【贈鍵鼠】▼下殺到 7/10 8:00,6988
ASUS Blue Cave藍洞【800+1734M】AiMesh/隱藏4天線/4*Gigabit埠/U3/三年換新▼下殺到 7/10 8:00,3988
ASUS RT-AC1200G+【300+867M】5dBi固定4天線/4*Gigabit埠/U2/三年換新▼下殺到 7/11 8:00,1799
ASUS RT-AC3200【600+1300M+1300M】6天線/4*Gigabit埠【最後優惠活動】$8590↘,6488
ASUS RT-AC1300UHP【400+867M】固定4天線/4*Gigabit埠/U3/MU-MIMO/三年換新,2690
ASUS PCE-AC55BT B1【300+867M】內接式無線網卡/AC雙頻/PCI-E介面/藍牙4.2【店內促↓↓↓】,1390
ASUS PCE-AC55BT B1【300+867M】內接式無線網卡/AC雙頻/PCI-E介面/藍牙4.2【搭機價】,990
ASUS PCE-AC58BT【300+1733M】固定2天線/AC雙頻/160MHz 頻寬/PCI-E/藍牙5.0店內促↓↓↓】,1890
ASUS PCE-AC58BT【300+1733M】固定2天線/AC雙頻/160MHz 頻寬/PCI-E/藍牙5.0【搭機價】,1490
ASUS RT-AC51U【300+433M】5dBi固定2天線/4埠100M/U2*1/Mediatek晶片 【店內升級↓↓↓】,990
ASUS RT-AC53【300+433M】5dBi固定3天線/2*Gigabit埠/VPN/三年換新【店內活動】,1299
ASUS RT-AC1300G+【400+867M】5dBi固定4天線/4*Gigabit埠/U3/MU-MIMO 【店內促↓↓↓】,2090
ASUS RT-AC1300G+【400+867M】5dBi固定4天線/4*Gigabit埠/U3/MU-MIMO 【搭機價】,1890
TP-LINK Archer T2UH【150+433M】3dBi可拆天線/三年保.一年換新【限網單】,599
TP-LINK Archer T2UH【150+433M】3dBi可拆天線/三年保.一年換新【搭機價】,399
TP-LINK Archer T9E【600+1300M】2dBi可拆3天線/AC雙頻/PCI-E介面【限網路下單】,1790
TP-LINK Archer T9E【600+1300M】2dBi可拆3天線/AC雙頻/PCI-E介面【搭機價】,1550
TP-LINK Deco P7【400+867M】隱藏4天線/Hybird Wi-Fi 系統速度提升60%/三入▼下殺到 7/31 22:00,8999
Intel 9301CT【Gigabit埠】(EXPI9301CTBLK) 單埠網路卡/PCIe/裸裝/3年保/附短擋片,930
Intel I350T2V2 (I350T2BLK)【Gigabit埠】2埠/PCIe/(附短擋片)/裸裝3年保,4530
Intel X540-T1【10 Gigabit埠】單埠網路卡/PCIe/盒裝/3年保,11690
TP-LINK TG-3468【Gigabit埠】有線網卡/PCIe介面,278
ASUS XG-C100C【10 Gigabit埠】單埠高速網路卡/PCIe介面,2950
ASUS XG-C100F【10 Gigabit埠】單埠高速網路卡/PCIe介面 SFP+ 連接埠,3490
