DJI Ryze Tello 迷你無人機(500萬靜態畫素/13分鐘續航/手機 APP 操控),3300
DJI Osmo Pocket(黑)(三軸機械增穩雲台/支援錄影4K 60fps/智慧跟隨/軌跡延時),12500
DJI Osmo Pocket(黑)(三軸機械增穩雲台/支援錄影4K 60fps/智慧跟隨/軌跡延時) 含配件包,14500
DJI Osmo Action 運動攝影機(裸機防水11米/前後雙彩螢幕/4K 60fps/多重拍攝模式),11900
Lenovo TAB4 8 TB-8504F(黑/8吋/高通驍龍 425 四核/2G/16G/WIFI),3900
Lenovo TAB4 10 TB-X304F(白/10吋/高通驍龍 425 四核/2G/16G/WIFI),5900
Lenovo TAB M10 TB-X605F(白/10吋/高通驍龍 450 八核/3G/32G/WIFI ),6900
Lenovo TAB M10 TB-X605F(黑/10吋/高通驍龍 450 八核/3G/32G/WIFI ),6900
Lenovo TAB P10 TB-X705F(黑/10吋/高通驍龍 450 八核/4G/64G/WIFI ),8900
ACER B3-A40FHD-K98M (黑/10.1吋/MT8167A 4核/2G/32G/WIFI) * 送 LINE 點數 300點,5690
ACER B1-870-K0WM(白/8吋/MT8167B 4核/1G/16G/WIFI) * 送 LINE 點數 300點,2990
"ACER B3-A50FHD-K37R(金/10.1吋/MT8167A 4核/2G/32G/WIFI) * 送 LINE 點數
                            300點",5488
HUAWEI MediaPad M5 Lite (金/10.1吋/Kirin659/3G/32G/WiFi) 附贈觸控筆,8290
"LG Gram 15Z980(G.AA75C2)銀(i7-8550U/8G/512G/Win10) *送 金士頓 NB 8G
                            +原廠內袋",43900
LG Gram(G.AA52C2)銀(i5-8250U/8G/256G/Win10) *送 原廠內袋,36900
MSI PE62 8RC[255TW] i5-8300H/8G/1T HDD/1050-4G 贈送微星無線魔法充電盤,26990
HP 15-db0075AX(星河銀) R3 2200U/4G/128G+1T/530獨顯/Win10,19990
"HP Pavilion x360 14-cd1051TX(冰瓷金)
                            i5-8265U/8G/128G+1T/MX130-2G/Win10",29900
華碩 FX705GM-0041A8750H (金)(i7-8750H/8G/256GB+1TB/1060-6G)144Hz,40900
華碩 UX410UF-0043A8250U(石英灰)(i5-8250U/4G/256G/MX130-2G),25900
華碩 S530UN-0091B8250U(炫耀紅)(i5-8250U/4G/512G/MX150-2G),29900
"技嘉 AERO15X
                            V8-2K7875H16GE5W10B(黑)(i7-8750H/16G/512G/1070-8G)144Hz",59900
Acer SF314-54G-50ZJ(藍) i5-8250U/4G/256G/MX150-2G/Win10 *加送原廠一年延伸保卡,21900
MSI GS73VR 7RF[271TW] i7-7700HQ/16G/256G+2T/1060-6G,52900
技嘉 AERO15 V7-2K7770H16GE2W10G綠(i7-7700HQ/16G/256G/1060-6G),41900
技嘉 AERO15 V7-2K7770H16GE2W10O橘(i7-7700HQ/16G/256G/1060-6G),41900
華碩 UX490UA-0161A7200U(皇家藍)(i5-7200U/8G/512G),36500
Acer E5-476G-51TT(銀) i5-8250U/4G/128G+1TB/MX130-2G/Win10,17900
Acer SF114-32-C64Q(銀) CN4100/4G/256G/Win10,14800
Acer SF114-32-C4Z6(��) CN4100/4G/256G/Win10,14800
Acer SF114-32-C53W(粉) CN4100/4G/256G/Win10,14800
Acer SF114-32-C0KE(湖水綠) CN4100/4G/256G/Win10,14800
Acer S40-10-32Z3(銀) i3-8130U/4G/Optane 16G+1T/Win10,16290
Acer SF314-54-52WL(粉) i5-8250U/4G/1TB/Win10 *加送 卡巴斯基防毒軟體(一台二年),18500
Acer SF314-54G-819S(紅) i7-8550U/8G/256G+1TB/MX150-2G/Win10,29600
Acer SF314-55G-54ZP(銀) i5-8265U/8G/512G/MX250-2G/Win10,25500
Acer SF314-56G-50N4(銀) i5-8265U/4G/128G+1TB/MX150-2G/Win10,23390
Acer SF314-56G-55DA(藍) i5-8265U/4G/128G+1TB/MX150-2G/Win10,23500
"Acer SF314-56G-55DA(藍) i5-8265U/4G/128G+1TB/MX150-2G/Win10
                            福利機(僅展示)",21500
Acer SF314-56G-559J(藍) i5-8265U/4G/256G/MX250-2G/Win10,24100
Acer SF314-56G-53BX(粉) i5-8265U/4G/256G/MX250-2G/Win10,24500
Acer SF314-56G-71FF(銀) i7-8565U/4G+4G/256G+1TB/MX250-2G/WIN10,32250
Acer SF314-56G-7361(藍) i7-8565U/4G+4G/256G+1TB/MX250-2G/WIN10,32250
Acer SF514-52T-57FV(藍) i5-8250U/8G/256G/Win10,27900
Acer SF514-52T-51AA(金) i5-8250U/8G/512G/觸控/Win10,31500
Acer SF514-52T-56Q4(藍) i5-8250U/8G/512G/觸控/Win10,31500
Acer SF514-52T-56Q4(藍) i5-8250U/8G/512G/觸控/Win10 福利品,28900
Acer SF514-52T-83U3(藍) i7-8550U/8G/512G/觸控/Win10,35900
Acer SF514-53T-53YJ(銀) i5-8265U/16G/512G/觸控/Win10 輕薄就是我!!,35100
Acer SF514-53T-5888(藍) i5-8265U/16G/512G/觸控/Win10 *加送原廠一年延伸保卡,35100
Acer SF514-53T-744H(藍) i7-8565U/16G/512G/觸控/Win10 輕薄就是我!!,39200
Acer SF514-53T-76K1(銀) i7-8565U/16G/512G/觸控/Win10 輕薄就是我!!,39200
Acer A514-51G-500Z(黑) i5-8265U/4G/128GSSD/MX130/WIN10,17900
Acer SF515-51T-54VR(藍) i5-8265U/8G/512G/觸控/Win10 輕薄就是我!!,33500
Acer A315-53-P8TP(黑) P4417U/4G/256G,15900
Acer A315-53G-57XP(黑) i5-8250U/4G/128G/MX130-2G,16900
Acer A315-53G-5828(黑) i5-8250U/4G/Optane 16G+1TB/MX130-2G,19100
Acer A515-52G-58A7(銀) i5-8265U/4G/128G+1T/MX130-2G,20900
Acer A515-52G-50T7(銀) i5-8265U/4G/256G/MX250-2G,22500
Acer A515-52G-510W(黑) i5-8265U/4G/256G/MX250-2G,22500
Acer AN515-52-51BY(黑) i5-8300H/8G/1TB HDD/GTX1050Ti-4G,26900
Acer AN515-52-51ME(黑) i5-8300H/8G/256G/GTX1060-6G,29500
Acer AN515-54-55GS(黑) i5-9300H/8G/256G+1TB/GTX1650-4G,32250
"Acer AN515-54-782E(黑)
                            i7-9750H/16G/256G+1TB/GTX1660Ti-6G/IPS/144Hz",44300
Lenovo YOGA 330-11IGM(81A6003XTW)(N4000/4G/128G)WIN 10 慶台南筆電館成立,8888
Lenovo s130-11IGM(81J1005VTW)(N5000/4G/64G/UMA)Win 10 S 搭載OFFICE 365,8999
Lenovo S730-13IWL(81J0004HTW)(銀)(i7-8565U/16G/512G) *送 原廠 65W USB-C變壓器,37490
Lenovo 330S-14IKB(81F4002HTW)(灰)(i5-8250U/4G/1TB HDD/Radeon535-2G),20900
Lenovo 330S-14IKB(81F4002FTW)(灰)(i5-8250U/4G/128G+1T/Radeon535-2G),22000
"Lenovo 520S-14IKB(81BL003STW)(礦灰)(i7-8550U/8G/1T
                            HDD/NV940MX-2G)",25900
Lenovo 530S-14IKB(81EU007WTW)(黑)(i5-8250U/8G/256G/MX150-2G),25900
