KLEVV(科賦) 8GB DDR4-2666,838
KLEVV(科賦) 16GB DDR4-2666,1758
KLEVV(科賦) 8GB DDR4 3200 BOLT X系列 黑散熱片/CL16,1050
KLEVV(科賦) 8GB DDR4 3200 BOLT X系列 黑散熱片/CL16【搭機價】,968
KLEVV(科賦) 16GB DDR4 2666 BOLT X系列 黑散熱片/CL16,2050
KLEVV(科賦) 16GB DDR4 3200 BOLT X系列 黑散熱片/CL16,2150
KLEVV(科賦) 8GB*2 DDR4-3200 電競超頻 CRAS X RGB/CL16,2788
KLEVV(科賦) 8GB*2 DDR4-3466 電競超頻 CRAS X RGB/CL17~限時限量~,2850
KLEVV(科賦) 16GB*2 DDR4-3200 電競超頻 CRAS X RGB/CL16,5088
KLEVV(科賦) 16GB*2 DDR4-3466 電競超頻 CRAS X RGB/CL17,5688
十銓 T-Force Vulcan Z 火神散熱片系列 8Gx2 DDR4-2666/CL18,1899
十銓 T-Force Vulcan Z 火神散熱片系列 8Gx2 DDR4-3200/CL16,1899
十銓 T-Force Vulcan Z 火神散熱片系列 8Gx2 DDR4-3200/CL16,2199
十銓 T-Force Vulcan Z 火神散熱片系列 16Gx2 DDR4-3200/CL16,4490
十銓 T-Force Delta 炫光RGB系列 8Gx2 DDR4-2666(黑色)/CL15,2288
十銓 T-Force Delta 炫光RGB系列 8Gx2 DDR4-3000(黑色)/CL16,2140
十銓 T-Force Delta 炫光RGB系列 8Gx2 DDR4-3000(白色)/CL16,2140
十銓 T-Force Delta 炫光RGB系列 8Gx2 DDR4-3200(黑色)/CL16,2530
十銓 T-Force Delta 炫光RGB系列 8Gx2 DDR4-3200(白色)/CL16,2530
十銓 T-Force Delta 炫光RGB系列 16Gx2 DDR4-3000(黑色)/CL16,4660
十銓 T-Force Delta 炫光RGB系列 16Gx2 DDR4-3000(白色)/CL16,4660
十銓 T-Force Delta 炫光RGB系列 16Gx2 DDR4-3200(黑色)/CL16,5240
十銓 T-Force Night Hawk夜鷹版RGB 系列 8Gx2 DDR4-3200(黑色)/CL16,3188
十銓 T-Force Night Hawk夜鷹版RGB 系列 8Gx2 DDR4-3600(黑色)/CL18,3588
十銓 T-Force Xcalibur神劍RGB系列 8Gx2 DDR4-3600/CL18,3888
十銓 T-Force Xcalibur神劍RGB系列 8Gx2 DDR4-4000/CL18,5088
十銓 T-Force Xcalibur神劍圖騰版RGB SE系列 8Gx2 DDR4-4000/CL18,5388
UMAX 4G DDR4-2400,510
UMAX 4G DDR4-2666原生顆粒製,520
UMAX 8G DDR4-2400,870
UMAX 8G DDR4-2666原生顆粒製,880
UMAX 8G DDR4-3000,960
UMAX 8G DDR4-3200,999
UMAX 16G DDR4-2400,1790
UMAX 16G DDR4-2666原生顆粒製,1790
UMAX 16G DDR4-3000,1880
UMAX 16G DDR4-3200,1950
威剛 4G DDR4-2666,520
威剛 8G DDR4-2666,899
威剛 8G DDR4-3000 XPG D10超頻/CL16(黑色)~限時限量~,987
威剛 8G DDR4-3000 XPG D10超頻/CL16(紅色)~限時限量~,987
威剛 8G DDR4-3200 XPG D10超頻/CL16(黑色)~限時限量~,1049
威剛 8G DDR4-3600 XPG D10超頻/CL18(黑色),1149
威剛 8G DDR4-3600 XPG D10超頻/CL18(紅色),1149
威剛 16G DDR4-2666,1820
威剛 16G DDR4-3000 XPG D10超頻/CL16(黑色)~限時限量~,1987
威剛 16G DDR4-3200 XPG D10超頻/CL16(黑色)~限時限量~,2099
金士頓 4G DDR4-2400,530
金士頓 8G DDR4-2400,920
金士頓 8G DDR4-2666,950
金士頓 8G DDR4-2666 HyperX FURY(黑),970
金士頓 8G DDR4-3200 HyperX FURY(黑),1170
金士頓 16G DDR4-2666,1888
金士頓 16G DDR4-2666 HyperX FURY(黑),1950
金士頓 16G DDR4-3000 HyperX Predator(黑),2280
金士頓 16G DDR4-3200 HyperX FURY(黑),2250
美光 Micron Crucial 4G DDR4-2666,549
美光 Micron Crucial 8G DDR4-2666,949
美光 Micron Ballistix Sport LT競技版 8G DDR4-3200灰色散熱片/CL16,1099
美光 Micron Ballistix Sport LT競技版 8G DDR4-3200白色散熱片/CL16,1099
美光 Micron Ballistix Sport LT競技版 8G DDR4-3200紅色散熱片/CL16,1099
美光 Micron Ballistix Tracer 8G DDR4 3000 RGB超頻記憶體/CL16,1499
美光 Micron Crucial 16G DDR4-2666,1849
美光 Micron Ballistix Tracer 16G DDR4 3000 RGB超頻記憶體/CL16,2999
美光 Micron Ballistix Sport LT競技版 16G DDR4-3200灰色散熱片/CL16,2199
美光 Micron Ballistix Sport LT競技版 16G DDR4-3200白色散熱片/CL16,2199
美光 Micron Ballistix Sport LT競技版 16G DDR4-3200紅色散熱片/CL16,2199
UMAX 4G*2 DDR4-2666原生顆粒製-含散熱片,1130
UMAX 8G*2 DDR4-2400含散熱片,1830
UMAX 8G*2 DDR4-2666原生顆粒製-含散熱片,1850
UMAX 8G*2 DDR4-3000含散熱片,1950
UMAX 8G*2 DDR4-3200含散熱片,1999
UMAX 16G*2 DDR4-2400含散熱片,3680
UMAX 16G*2 DDR4-2666原生顆粒製-含散熱片,3700
UMAX 16G*2 DDR4-3000含散熱片,3850
UMAX 16G*2 DDR4-3200含散熱片,3900
威剛 8G*2 DDR4-3000 XPG D10超頻/CL16(黑色) ~限時限量~,1987
威剛 8G*2 DDR4-3200 XPG D10超頻/CL16(黑色) ~限時限量~,2099
威剛 8G*2 DDR4-3600 XPG D10超頻/CL18(黑色),2188
威剛 8G*2 DDR4-3600 XPG D10超頻/CL18(紅色),2188
