WD My Book 4TB【3.5吋外接】(USB3.1 Gen1/三年保),3590
WD My Book 6TB【3.5吋外接】(USB3.1 Gen1/三年保),4790
WD My Book 8TB【3.5吋外接】(USB3.1 Gen1/三年保),5750
WD My Book 10TB【3.5吋外接】(USB3.1 Gen1/三年保),7580
"WD My Book Pro 6TB(3TBx2)【3.5""外接雙硬碟】(Thunderbolt/RAID/USB3.1 Gen1/三年)",16490
威剛 HM900 3T【3.5吋外接】(USB3.1 Gen1/防震強化/加密防護/三年保),2390
威剛 HM900 4T【3.5吋外接】(USB3.1 Gen1/防震強化/加密防護/三年保)▼下殺到 7/30 22:00,2800
SONY 128G(銀)【外接SSD】(USB3.1 Gen1/鋁質髮絲紋/三年保)(SL-BG1) *尾盤優惠,1590
SONY 128G(黑)【外接SSD】(USB3.1 Gen1/鋁質髮絲紋/三年保)(SL-BG1) *尾盤優惠,1590
ASUS 1TB【2.5吋外接】(USB3.1 Gen1/Aura Sync/三年換新)(EHD-A1T),1790
ASUS 2TB【2.5吋外接】(USB3.1 Gen1/Aura Sync/三年換新)(EHD-A2T),2780
WD 1TB(黑) Elements【2.5吋外接】(USB3.1 Gen1/二年保)智慧型軟體備份,1599
WD 2TB(黑) Elements【2.5吋外接】(USB3.1 Gen1)*慶台南NB試營運，搭NB/PC 優惠價,1599
WD 2TB(黑) Elements【2.5吋外接】(USB3.1 Gen1/二年保)智慧型軟體備份,2190
WD 4TB(黑) Elements【2.5吋外接】(USB3.1 Gen1/二年保)智慧型軟體備份,3190
WD 1TB(黑)My Passport【2.5吋外接】(USB3.1 Gen1/三年保)硬體加密/智能備份,1670
WD 1TB(藍)My Passport【2.5吋外接】(USB3.1 Gen1/三年保)硬體加密/智能備份,1670
WD 1TB(橘)My Passport【2.5吋外接】(USB3.1 Gen1/三年保)硬體加密/智能備份,1670
WD 1TB(紅)My Passport【2.5吋外接】(USB3.1 Gen1/三年保)硬體加密/智能備份,1670
WD 1TB(白)My Passport【2.5吋外接】(USB3.1 Gen1/三年保)硬體加密/智能備份,1670
WD 2TB(黑)My Passport【2.5吋外接】(USB3.1 Gen1/三年保/Slim)加密.備份,2290
WD 2TB(藍)My Passport【2.5吋外接】(USB3.1 Gen1/三年保/Slim)加密.備份,2290
WD 2TB(紅)My Passport【2.5吋外接】(USB3.1 Gen1/三年保/Slim)加密.備份,2290
WD 2TB(白)My Passport【2.5吋外接】(USB3.1 Gen1/三年保/Slim)加密.備份,2290
WD 4TB(黑)My Passport【2.5吋外接】(USB3.1 Gen1/三年保)加密.備份 *送保護包,3390
WD 4TB(藍)My Passport【2.5吋外接】(USB3.1 Gen1/三年保)加密.備份 *送保護包,3390
WD 4TB(橘)My Passport【2.5吋外接】(USB3.1 Gen1/三年保)加密.備份 *送保護包,3390
WD 4TB(紅)My Passport【2.5吋外接】(USB3.1 Gen1/三年保)加密.備份 *送保護包,3390
WD 4TB(白)My Passport【2.5吋外接】(USB3.1 Gen1/三年保)加密.備份 *送保護包,3390
WD 2TB Gaming Drive【2.5吋外接】(USB3.1 Gen1/三年保)可PS4使用,2390
WD My Passport Wireless Pro 2TB/可連8台/USB3.1 Gen1/二年保 *送WD 旅行包,5790
WD My Passport Wireless Pro 4TB/可連8台/USB3.1 Gen1/二年 *送WD旅行包,6999
Fujitsu 1TB(經典黑)【2.5吋外接】(HLMHD0042A-01) *加送 Fujitsu CW100 無線充電器,1880
Fujitsu 1TB(璀璨紅)【2.5吋外接】(HLMHD0042B-01) *加送 Fujitsu CW100 無線充電器,1880
Fujitsu 1TB(時尚鈦)【2.5吋外接】(HLMHD0042C-01) *加送 Fujitsu CW100 無線充電器,1880
Fujitsu 1TB(香檳金)【2.5吋外接】(HLMHD0042D-01) *加送 Fujitsu CW100 無線充電器,1880
Fujitsu 1TB(魔幻紫)【2.5吋外接】(HLMHD0042E-01) *加送 Fujitsu CW100 無線充電器,1880
Fujitsu 2TB(經典黑)【2.5吋外接】(HLMHD0071A-01) *加送 Fujitsu CW100 無線充電器,2750
Fujitsu 2TB(璀璨紅)【2.5吋外接】(HLMHD0071B-01) *加送 Fujitsu CW100 無線充電器,2750
Fujitsu 2TB(時尚鈦)【2.5吋外接】(HLMHD0071C-01) *加送 Fujitsu CW100 無線充電器,2750
Fujitsu 2TB(香檳金)【2.5吋外接】(HLMHD0071D-01) *加送 Fujitsu CW100 無線充電器,2750
Fujitsu 2TB(魔幻紫)【2.5吋外接】(HLMHD0071E-01) *加送 Fujitsu CW100 無線充電器,2750
威剛 2TB(黑) HD710Pro【2.5吋外接】(USB3.1 Gen1/軍規/防水防塵/整合傳輸線設計),2399
威剛 2TB(藍) HD710Pro【2.5吋外接】(USB3.1 Gen1/軍規/防水防塵/整合傳輸線設計),2399
威剛 2TB(紅) HD710Pro【2.5吋外接】(USB3.1 Gen1/軍規/防水防塵/整合傳輸線設計),2399
威剛 4TB(黑) HD710Pro【2.5吋外接】(USB3.1 Gen1/軍規/防水防塵/整合傳輸線設計),3499
威剛 4TB(紅) HD710Pro【2.5吋外接】(USB3.1 Gen1/軍規/防水防塵/整合傳輸線設計),3499
威剛 1TB(黑) HV300【2.5吋外接】(USB3.1 Gen1/極輕薄/AES加密/三年),1480
威剛 1TB(藍) HV300【2.5吋外接】(USB3.1 Gen1/極輕薄/AES加密/三年),1480
威剛 1TB(白) HV300【2.5吋外接】(USB3.1 Gen1/極輕薄/AES加密/三年),1480
威剛 1TB(紅) HV300【2.5吋外接】(USB3.1 Gen1/極輕薄/AES加密/三年),1480
威剛 2TB(黑) HV300【2.5吋外接】(USB3.1 Gen1/極輕薄/AES加密/三年)▼下殺到 7/9 22:00,1950
威剛 2TB(藍) HV300【2.5吋外接】(USB3.1 Gen1/極輕薄/AES加密/三年)▼下殺到 7/9 22:00,1950
威剛 2TB(白) HV300【2.5吋外接】(USB3.1 Gen1/極輕薄/AES加密/三年)▼下殺到 7/9 22:00,1950
威剛 2TB(紅) HV300【2.5吋外接】(USB3.1 Gen1/極輕薄/AES加密/三年)▼下殺到 7/9 22:00,1950
威剛 4TB(藍) HV300【2.5吋外接】(USB3.1 Gen1/極輕薄/AES加密/三年),3450
威剛 4TB(紅) HV300【2.5吋外接】(USB3.1 Gen1/極輕薄/AES加密/三年),3450
威剛 4TB(白) HV300【2.5吋外接】(USB3.1 Gen1/極輕薄/AES加密/三年),3450
威剛 4TB(黑) HV300【2.5吋外接】(USB3.1 Gen1/極輕薄/AES加密/三年),3450
威剛 5TB(黑) HV300【2.5吋外接】(U3.1 Gen1/輕薄/AES加密/三年)*送P10050行動電源▼下殺到 7/16 22:00,4300
威剛 5TB(藍) HV300【2.5吋外接】(U3.1 Gen1/輕薄/AES加密/三年)*送P10050行動電源▼下殺到 7/16 22:00,4300
威剛 5TB(白) HV300【2.5吋外接】(U3.1 Gen1/輕薄/AES加密/三年)*送P10050行動電源▼下殺到 7/16 22:00,4300
威剛 5TB(紅) HV300【2.5吋外接】(U3.1 Gen1/輕薄/AES加密/三年)*送P10050行動電源▼下殺到 7/16 22:00,4300
創見 1TB(軍規) 25MC【2.5吋外接】(U3.1 Gen1/TYPE-C/三年保)(TS1TSJ25MC),1750
創見 1TB(黑) 25A3【2.5吋外接】(USB3.1 Gen1/三年保)(TS1TSJ25A3K),1599
創見 1TB(白) 25A3【2.5吋外接】(USB3.1 Gen1/三年保)(TS1TSJ25A3W),1599
創見 1TB(鐵灰) 25M3【2.5吋外接】(U3.1 Gen1/Slim/軍規/三年)(TS1TSJ25M3S),1690
創見 1TB(軍綠) 25M3【2.5吋外接】(U3.1 Gen1/Slim/軍規/三年)(TS1TSJ25M3G),1690
創見 1TB(紫) 25H3【2.5吋外接】(USB3.1 Gen1/軍規/三年保)(TS1TSJ25H3P),1690
創見 1TB(藍) 25H3【2.5吋外接】(USB3.1 Gen1/軍規/三年保)(TS1TSJ25H3B),1690
創見 2TB(鐵灰) 25M3【2.5吋外接】(USB3.1 Gen1/軍規/三年)(TS2TSJ25M3S),2350
創見 2TB(紫) 25H3【2.5吋外接】(USB3.1 Gen1/軍規/三年保)(TS2TSJ25H3P),2350
創見 2TB(藍) 25H3【2.5吋外接】(USB3.1 Gen1/軍規/三年保)(TS2TSJ25H3B),2350
創見 4TB(紫) 25H3【2.5吋外接】(USB3.1 Gen1/軍規/三年保)(TS4TSJ25H3P),3680
Toshiba 1TB(黑) Canvio Basics【2.5吋外接】(USB3.1 Gen1/三年保) *新款薄型,1580
Toshiba 2TB(黑) Canvio Basics【2.5吋外接】(USB3.1 Gen1/三年保) *新款薄型,2180
Toshiba 4TB(黑) Canvio Basics【2.5吋外接】(USB3.1 Gen1/三年保) *新款薄型▼下殺到 7/11 22:00,3480
Toshiba 1TB(黑) Canvio Advance V9【2.5吋外接】(USB3.1 Gen1/三年) *加密.備份軟體,1690
Toshiba 1TB(白) Canvio Advance V9【2.5吋外接】(USB3.1 Gen1/三年) *加密.備份軟體,1690
Toshiba 1TB(紅) Canvio Advance V9【2.5吋外接】(USB3.1 Gen1/三年) *加密.備份軟體,1690
Toshiba 1TB(藍) Canvio Advance V9【2.5吋外接】(USB3.1 Gen1/三年) *加密.備份軟體,1690
Toshiba 2TB(黑) Canvio Advance V9【2.5吋外接】(USB3.1 Gen1/三年)*送皮套▼下殺到 7/18 22:00,2490
Toshiba 2TB(白) Canvio Advance V9【2.5吋外接】(USB3.1 Gen1/三年)*送皮套▼下殺到 7/18 22:00,2490
Toshiba 2TB(紅) Canvio Advance V9【2.5吋外接】(USB3.1 Gen1/三年)*送皮套▼下殺到 7/18 22:00,2490
Toshiba 2TB(藍) Canvio Advance V9【2.5吋外接】(USB3.1 Gen1/三年)*送皮套▼下殺到 7/18 22:00,2490
Toshiba 3TB(黑) Canvio Advance V9【2.5吋外接】(USB3.1 Gen1/三年)*送皮套-尾盤,3488
Toshiba 1TB(黑) Canvio PremiumII【2.5吋外接】(USB3.1 Gen1/三年保)*送皮套,1890
Toshiba 1TB(銀) Canvio PremiumII【2.5吋外接】(USB3.1 Gen1/三年保)*送皮套,1890
Toshiba 2TB(灰) Canvio PremiumII【2.5吋外接】(USB3.1 Gen1/三年保)*送皮套▼下殺到 7/9 22:00,2790
Toshiba 2TB(銀) Canvio PremiumII【2.5吋外接】(USB3.1 Gen1/三年保)*送皮套▼下殺到 7/9 22:00,2790
Toshiba 3TB(灰) Canvio PremiumII【2.5吋外接】(USB3.1 Gen1/三年保)*送皮套,2990
Toshiba 3TB(銀) Canvio PremiumII【2.5吋外接】(USB3.1 Gen1/三年保)*送皮套,2990
SONY HD-SL1 1T(銀)USB3.1 Gen1/內建備份軟體/三年保 *送原廠皮套-最後優惠,1999
SONY HD-SL2 2T(銀)USB3.1 Gen1/內建備份軟體/三年保 *送原廠皮套-最後優惠,2999
SONY HD-E2L 2T(藍)USB3.1 Gen1/內建備份軟體/三年保 *送原廠皮套-最後優惠,2999
廣穎 1TB(黑) Diamond D06【2.5吋外接】經典菱格紋.提供資料備份和還原軟體,1399
廣穎 2TB(黑) Diamond D06【2.5吋外接】經典菱格紋.提供資料備份和還原軟體,1999
廣穎 4TB(黑綠) Armor A60【2.5吋外接】軍規抗震 防潑水防護,3290
廣穎 5TB(黑綠) Armor A60【2.5吋外接】軍規抗震 防潑水防護,4290
Seagate 1TB(黑)Backup Plus Ultra Touch(USB3.0/USB-C/三年保.二年救援)加密.備份,1950
Seagate 1TB(白)Backup Plus Ultra Touch(USB3.0/USB-C/三年保.二年救援)加密.備份,1950
